Date, Open, High, Low, Close, Volume
06/22/18, 100.41, 100.77, 99.625, 100.41, 38923105
06/21/18, 102.075, 102.46, 100.88, 101.14, 23198188
06/20/18, 101.37, 102.52, 101.12, 101.87, 26180792
06/19/18, 99.65, 101.00, 99.50, 100.86, 28653087
06/18/18, 100.01, 101.11, 99.42, 100.86, 23586037
06/15/18, 101.51, 101.53, 100.07, 100.13, 65738585
06/14/18, 101.65, 102.03, 101.00, 101.42, 25691811
06/13/18, 101.72, 102.01, 100.56, 100.85, 29492875
06/12/18, 101.10, 101.4493, 100.75, 101.31, 18325228
06/11/18, 101.0099, 101.59, 100.67, 101.05, 23490894
06/08/18, 101.0924, 101.95, 100.54, 101.63, 22165128
06/07/18, 102.65, 102.69, 100.38, 100.88, 28232197
06/06/18, 102.48, 102.60, 101.90, 102.49, 21122917
06/05/18, 102.00, 102.33, 101.53, 102.19, 23514402
06/04/18, 101.26, 101.86, 100.851, 101.67, 27281623
06/01/18, 99.2798, 100.86, 99.17, 100.79, 28655624
05/31/18, 99.29, 99.99, 98.61, 98.84, 34140891
05/30/18, 98.31, 99.25, 97.91, 98.95, 22158528
05/29/18, 97.84, 98.88, 97.23, 98.01, 28670981
05/25/18, 98.30, 98.98, 97.86, 98.36, 18363918
05/24/18, 98.725, 98.94, 96.81, 98.31, 26649287
05/23/18, 96.71, 98.73, 96.32, 98.66, 21251222
05/22/18, 97.68, 98.17, 97.20, 97.50, 15441189
05/21/18, 97.00, 98.01, 96.80, 97.60, 19422467
05/18/18, 96.01, 96.93, 96.01, 96.36, 17865840
05/17/18, 96.76, 97.5401, 95.83, 96.18, 17246716
05/16/18, 97.36, 97.40, 96.615, 97.15, 17384742
05/15/18, 97.24, 97.85, 96.34, 97.32, 24594010
05/14/18, 97.92, 98.69, 97.31, 98.03, 19454124
05/11/18, 97.80, 97.87, 97.04, 97.70, 16778316
05/10/18, 97.46, 97.95, 97.05, 97.91, 22388119
05/09/18, 96.01, 96.97, 95.05, 96.94, 27327410
05/08/18, 95.8456, 96.16, 95.0631, 95.81, 23484589
05/07/18, 95.17, 96.71, 95.10, 96.22, 24242019
05/04/18, 93.32, 95.37, 92.92, 95.16, 22531325
05/03/18, 92.96, 94.925, 92.45, 94.07, 31142497
05/02/18, 94.99, 95.17, 93.19, 93.51, 27471002
05/01/18, 93.21, 95.29, 92.79, 95.00, 31408927
04/30/18, 96.33, 96.3964, 93.15, 93.52, 41523605
04/27/18, 97.60, 97.90, 93.91, 95.82, 48272780
04/26/18, 93.55, 95.15, 93.10, 94.26, 42529043
04/25/18, 93.30, 93.30, 90.28, 92.31, 33729257
04/24/18, 96.242, 96.47, 92.41, 93.12, 34524799
04/23/18, 95.7436, 96.29, 94.63, 95.35, 22331829
04/20/18, 95.91, 96.11, 94.05, 95.00, 31154377
04/19/18, 96.44, 97.07, 95.34, 96.11, 23552541
04/18/18, 96.22, 96.72, 95.52, 96.44, 21043287
04/17/18, 95.00, 96.54, 94.88, 96.07, 26771000
04/16/18, 94.07, 94.66, 93.42, 94.17, 20288083
04/13/18, 94.05, 94.18, 92.44, 93.08, 23346063
04/12/18, 92.43, 94.16, 92.43, 93.58, 26758879
04/11/18, 92.01, 93.29, 91.48, 91.86, 24872110
04/10/18, 92.39, 93.28, 91.64, 92.88, 26939883
04/09/18, 91.3617, 93.17, 90.62, 90.77, 31533943
04/06/18, 91.49, 92.46, 89.48, 90.23, 38026000
04/05/18, 92.435, 93.065, 91.40, 92.38, 29771881
04/04/18, 87.85, 92.76, 87.73, 92.33, 35559956
04/03/18, 89.575, 90.05, 87.89, 89.71, 37213837
04/02/18, 90.47, 90.88, 87.51, 88.52, 48515417
03/29/18, 90.18, 92.29, 88.40, 91.27, 45867548
03/28/18, 89.82, 91.23, 88.873, 89.39, 52501146
03/27/18, 94.94, 95.139, 88.51, 89.47, 56569011
03/26/18, 90.61, 94.00, 90.40, 93.78, 56396780
03/23/18, 89.50, 90.46, 87.08, 87.18, 44068949
03/22/18, 91.265, 91.75, 89.66, 89.79, 38604715
03/21/18, 92.93, 94.05, 92.21, 92.48, 24457082
03/20/18, 93.05, 93.77, 93.00, 93.13, 23075240
03/19/18, 93.74, 93.90, 92.11, 92.89, 33344085
03/16/18, 94.68, 95.38, 93.92, 94.60, 49081279
03/15/18, 93.53, 94.58, 92.83, 94.18, 27610998
03/14/18, 95.12, 95.41, 93.50, 93.85, 32131981
03/13/18, 97.00, 97.24, 93.97, 94.41, 35387817
03/12/18, 96.50, 97.21, 96.04, 96.77, 26073742
03/09/18, 95.29, 96.54, 95.00, 96.54, 36913529
03/08/18, 94.27, 95.10, 93.765, 94.43, 25887828
03/07/18, 93.16, 93.9406, 92.43, 93.86, 26716127
03/06/18, 94.34, 94.49, 92.941, 93.32, 22175776
03/05/18, 92.34, 94.27, 92.26, 93.64, 23901578
03/02/18, 91.58, 93.15, 90.86, 93.05, 32830389
03/01/18, 93.99, 94.57, 91.84, 92.85, 37135561
02/28/18, 94.84, 95.705, 93.63, 93.77, 31167338
02/27/18, 95.74, 95.84, 94.20, 94.20, 25869119
02/26/18, 94.40, 95.45, 94.25, 95.42, 30199846
02/23/18, 93.60, 94.07, 92.36, 94.06, 26329226
02/22/18, 92.05, 92.73, 91.36, 91.73, 24392753
02/21/18, 92.98, 93.3595, 91.49, 91.49, 26922503
02/20/18, 91.475, 93.06, 91.01, 92.72, 30911725
02/16/18, 92.45, 93.50, 91.80, 92.00, 30596919
02/15/18, 91.21, 92.72, 90.62, 92.66, 27823866
02/14/18, 88.51, 90.99, 88.41, 90.81, 34960912
02/13/18, 88.93, 90.00, 87.80, 89.83, 26407702
02/12/18, 88.735, 89.78, 87.9295, 89.13, 35720341
02/09/18, 86.30, 88.93, 83.83, 88.18, 63499065
02/08/18, 89.71, 89.875, 84.76, 85.01, 55628657
02/07/18, 90.49, 91.77, 89.20, 89.61, 41107592
02/06/18, 86.89, 91.475, 85.25, 91.33, 67998564
02/05/18, 90.56, 93.24, 88.00, 88.00, 51031465
02/02/18, 93.64, 93.97, 91.50, 91.78, 47867753
02/01/18, 94.79, 96.07, 93.5813, 94.26, 47227882
01/31/18, 93.75, 95.40, 93.51, 95.01, 48756338
01/30/18, 93.30, 93.66, 92.10, 92.74, 38635053
01/29/18, 95.14, 95.45, 93.72, 93.92, 31569940
01/26/18, 93.12, 94.06, 92.58, 94.06, 29172167
01/25/18, 92.465, 93.24, 91.93, 92.33, 26383238
01/24/18, 92.55, 93.43, 91.58, 91.82, 33277483
01/23/18, 91.90, 92.30, 91.54, 91.90, 23412841
01/22/18, 90.00, 91.62, 89.74, 91.61, 23601555
01/19/18, 90.14, 90.61, 89.66, 90.00, 36875013
01/18/18, 89.80, 90.67, 89.66, 90.10, 24159683
01/17/18, 89.08, 90.28, 88.75, 90.14, 25621164
01/16/18, 90.10, 90.79, 88.0104, 88.35, 36599736
01/12/18, 88.67, 89.78, 88.45, 89.60, 24271531
01/11/18, 88.13, 88.13, 87.24, 88.08, 17808877
01/10/18, 87.86, 88.19, 87.41, 87.82, 18652201
01/09/18, 88.65, 88.7272, 87.86, 88.22, 19484317
01/08/18, 88.20, 88.58, 87.6046, 88.28, 22113049
01/05/18, 87.66, 88.41, 87.43, 88.19, 23407110
01/04/18, 86.59, 87.66, 86.57, 87.11, 21911974
01/03/18, 86.055, 86.51, 85.97, 86.35, 26061439
01/02/18, 86.125, 86.31, 85.50, 85.95, 22483797
